|municipio               |estado|area_km2 |desmatado_2022|incremento_2021_2022|floresta_2022|
|Lábrea                  |AM    |51.350,69|15.846,54     |125,18              |35.504,15    |
|Lábrea                  |AM    |43.470,63|22.212,62     |77,82               |21.258,01    |
|Humaitá                 |AM    |56.038,74|29.531,47     |195,67              |26.507,27    |
|Borba                   |AM    |53.383,57|18.547,16     |35,22               |34.836,41    |
|Maués                   |AM    |57.040,97|29.603,89     |118,89              |27.437,08    |
|Novo Aripuanã           |AM    |1.162,33 |543,96        |117,55              |618,37       |
|Benjamin Constant       |AM    |58.505,25|24.109,53     |51,16               |34.395,72    |
|Eirunepé                |AM    |11.645,04|3.139,55      |17,82               |8.505,49     |
|Boca do Acre            |AM    |52.711,44|12.846        |53,11               |39.865,44    |
|Maués                   |AM    |20.328,21|2.366,32      |170,78              |17.961,89    |
|Manaus                  |AM    |17.364,05|8.143,59      |195,77              |9.220,46     |
|Maués                   |AM    |16.658,89|8.058,31      |33,62               |8.600,58     |
|Humaitá                 |AM    |43.292,53|18.120,72     |43,99               |25.171,81    |
|Benjamin Constant       |AM    |26.621,65|1.441,85      |39,25               |25.179,8     |
|Boca do Acre            |AM    |26.025,22|2.804,85      |53,96               |23.220,37    |
|Itacoatiara             |AM    |31.755,42|12.714,14     |101,05              |19.041,28    |
|Tefé                    |AM    |10.136,89|3.673,81      |109,13              |6.463,08     |
|Parintins               |AM    |46.195,54|13.508,48     |183,21              |32.687,06    |
|Itacoatiara             |AM    |34.825,02|2.512,89      |87,36               |32.312,13    |
|Borba                   |AM    |22.054,81|8.187,24      |133,01              |13.867,57    |
|Iranduba                |AM    |7.777,26 |2.221,17      |49,2                |5.556,09     |
|Borba                   |AM    |36.909,92|4.964,08      |54,2                |31.945,84    |
|Benjamin Constant       |AM    |12.482,9 |2.718,59      |64,26               |9.764,31     |
|Coari                   |AM    |51.444,19|18.132,58     |13,49               |33.311,61    |
|Iranduba                |AM    |53.828,06|4.050,4       |65,38               |49.777,66    |
|Autazes                 |AM    |57.271,9 |23.154,48     |124,87              |34.117,42    |
|Novo Aripuanã           |AM    |31.544,42|13.623,93     |163,74              |17.920,49    |
|Presidente Figueiredo   |AM    |17.285,6 |3.651,53      |84,77               |13.634,07    |
|Tabatinga               |AM    |31.490,72|10.462,68     |48,18               |21.028,04    |
|Lábrea                  |AM    |36.482,65|17.561,31     |45,4                |18.921,34    |
|Lábrea                  |AM    |19.784,21|2.522,38      |130,33              |17.261,83    |
|Eirunepé                |AM    |37.407,96|19.281,6      |197,2               |18.126,36    |
|Eirunepé                |AM    |11.208,52|3.246,98      |180,54              |7.961,54     |
|Iranduba                |AM    |2.752,39 |1.240,64      |95,41               |1.511,75     |
|Novo Aripuanã           |AM    |30.348,3 |9.426,26      |79,98               |20.922,04    |
|Eirunepé                |AM    |2.376,17 |1.334,82      |28,2                |1.041,35     |
|Humaitá                 |AM    |28.534,24|15.605,33     |96,55               |12.928,91    |
|Parintins               |AM    |27.374,85|747,53        |103,46              |26.627,32    |
|Coari                   |AM    |24.041,18|6.084,56      |190,08              |17.956,62    |
|Autazes                 |AM    |59.482,92|21.028,73     |72,41               |38.454,19    |
|Presidente Figueiredo   |AM    |5.931,73 |3.069,89      |79,5                |2.861,84     |
|Tefé                    |AM    |45.689,96|12.056,49     |29,76               |33.633,47    |
|Boca do Acre            |AM    |4.766,03 |1.289,64      |123,08              |3.476,39     |
|Boca do Acre            |AM    |1.100,76 |571,47        |57,57               |529,29       |
|Tefé                    |AM    |2.704,59 |855,04        |194,89              |1.849,55     |
|Manaus                  |AM    |47.117,01|18.312,21     |140,11              |28.804,8     |
|Borba                   |AM    |38.017,97|11.388,46     |118,32              |26.629,51    |
|Humaitá                 |AM    |36.955,94|10.186,81     |41,93               |26.769,13    |
|Manacapuru              |AM    |21.336,79|11.556,74     |165,24              |9.780,05     |
|Borba                   |AM    |7.786,62 |4.048,4       |126,19              |3.738,22     |
|Lábrea                  |AM    |52.807,05|13.535,22     |96,4                |39.271,83    |
|Coari                   |AM    |37.713,31|11.727,36     |68,51               |25.985,95    |
|Autazes                 |AM    |44.994,11|4.695,34      |119,62              |40.298,77    |
|Manacapuru              |AM    |46.599,32|14.321,32     |155,5               |32.278       |
|Boca do Acre            |AM    |52.823,46|14.775,79     |193,47              |38.047,67    |
|Coari                   |AM    |43.500,94|3.802,8       |72,24               |39.698,14    |
|Itacoatiara             |AM    |44.515,11|24.276,26     |141,01              |20.238,85    |
|Maués                   |AM    |16.748,53|6.194,73      |46,78               |10.553,8     |
|Lábrea                  |AM    |19.749,82|10.154,92     |39,23               |9.594,9      |
|Autazes                 |AM    |51.325,13|5.042,46      |116,62              |46.282,67    |
|Novo Aripuanã           |AM    |38.947,34|5.791,95      |151,17              |33.155,39    |
|Parintins               |AM    |35.769,55|19.921,72     |115,4               |15.847,83    |
|Itacoatiara             |AM    |14.186,8 |3.680,04      |26,49               |10.506,76    |
|Coari                   |AM    |10.416,14|5.957,67      |17,78               |4.458,47     |
|Novo Aripuanã           |AM    |27.839,5 |6.117,67      |110,13              |21.721,83    |
|Coari                   |AM    |37.084,32|21.966,75     |138,48              |15.117,57    |
|Coari                   |AM    |29.144,95|14.361,46     |65,57               |14.783,49    |
|Parintins               |AM    |10.386,54|5.067,11      |76,87               |5.319,43     |
|Humaitá                 |AM    |22.817,54|12.878,23     |96,98               |9.939,31     |
|Boca do Acre            |AM    |1.263,06 |659,76        |27,65               |603,3        |
|Boca do Acre            |AM    |54.535,55|7.522,29      |173,45              |47.013,26    |
|Iranduba                |AM    |48.073,16|12.597,18     |147,19              |35.475,98    |
|São Gabriel da Cachoeira|AM    |44.638,27|7.513,01      |172,17              |37.125,26    |
|Manaus                  |AM    |34.866,04|1.616,36      |52,14               |33.249,68    |
|Parintins               |AM    |37.859,5 |21.052,32     |99,99               |16.807,18    |
|Manacapuru              |AM    |32.026,67|1.175,65      |180,18              |30.851,02    |
|Tabatinga               |AM    |43.315,18|16.481,61     |32,37               |26.833,57    |
|Maués                   |AM    |2.644,45 |1.069,48      |136,24              |1.574,97     |
|Eirunepé                |AM    |2.610,02 |1.086,38      |13,71               |1.523,64     |
|Iranduba                |AM    |41.315,22|19.023,37     |10,33               |22.291,85    |
|Manacapuru              |AM    |13.678,66|2.659,29      |44,11               |11.019,37    |
|Boca do Acre            |AM    |11.205,93|6.717,19      |198,96              |4.488,74     |
|Autazes                 |AM    |55.575,31|617,38        |44,03               |54.957,93    |
|São Gabriel da Cachoeira|AM    |45.076,9 |12.164,91     |19,99               |32.911,99    |
|Manacapuru              |AM    |8.572,82 |2.395,51      |71,76               |6.177,31     |
|Presidente Figueiredo   |AM    |28.389,31|12.797,32     |145,75              |15.591,99    |
|Boca do Acre            |AM    |4.965,61 |975,59        |140,35              |3.990,02     |
|Presidente Figueiredo   |AM    |32.060,61|5.737,7       |11,64               |26.322,91    |
|Maués                   |AM    |21.829,02|9.101,78      |29,43               |12.727,24    |
|Iranduba                |AM    |37.795,72|9.637,87      |91,18               |28.157,85    |
|Maués                   |AM    |19.921,32|2.097,9       |165,88              |17.823,42    |
|Eirunepé                |AM    |48.603,09|5.245,54      |23,48               |43.357,55    |
|Humaitá                 |AM    |23.190,96|7.941,62      |96,91               |15.249,34    |
|Boca do Acre            |AM    |11.600,99|2.418,92      |188,26              |9.182,07     |
|Maués                   |AM    |59.746,07|33.696,26     |56,11               |26.049,81    |
|Novo Aripuanã           |AM    |56.317,19|21.865,82     |74,63               |34.451,37    |
|Itacoatiara             |AM    |34.497,32|13.084,97     |72,46               |21.412,35    |
|Autazes                 |AM    |40.398,76|4.640,83      |92,76               |35.757,93    |
|Presidente Figueiredo   |AM    |44.752,82|15.036,77     |183,35              |29.716,05    |
|Itacoatiara             |AM    |7.621,61 |1.646,94      |52,07               |5.974,67     |
|Benjamin Constant       |AM    |25.875,03|4.402,76      |59,79               |21.472,27    |
|Novo Aripuanã           |AM    |1.300,47 |513,58        |169,15              |786,89       |
|Benjamin Constant       |AM    |43.296,3 |6.464,32      |132,85              |36.831,98    |
|Borba                   |AM    |38.760,4 |1.446,09      |94,08               |37.314,31    |
|Tefé                    |AM    |49.646,13|20.087,45     |125,19              |29.558,68    |
|Borba                   |AM    |28.242,13|2.043,54      |171,79              |26.198,59    |
|Humaitá                 |AM    |31.661,84|1.419,58      |197,46              |30.242,26    |
|Borba                   |AM    |55.166,25|10.671,29     |82,45               |44.494,96    |
|Boca do Acre            |AM    |27.385,9 |3.697,06      |19,69               |23.688,84    |
|Coari                   |AM    |28.725,93|11.875,91     |44,68               |16.850,02    |
|Tabatinga               |AM    |53.596,64|5.329,63      |162,11              |48.267,01    |
|Tabatinga               |AM    |5.162,28 |2.084,9       |137,47              |3.077,38     |
|Itacoatiara             |AM    |7.837,04 |2.492,01      |107,34              |5.345,03     |
|Iranduba                |AM    |43.477,4 |7.349,36      |117,56              |36.128,04    |
|São Gabriel da Cachoeira|AM    |37.533,99|9.367,31      |98,2                |28.166,68    |
|Iranduba                |AM    |25.985,64|5.063,31      |26,34               |20.922,33    |
|Lábrea                  |AM    |28.893,13|16.309,03     |164,69              |12.584,1     |
|Novo Aripuanã           |AM    |19.711,14|5.331,83      |50,37               |14.379,31    |
|Manaus                  |AM    |41.268,15|3.633,34      |89,76               |37.634,81    |
|Tefé                    |AM    |13.884,33|984,87        |124,39              |12.899,46    |
|Presidente Figueiredo   |AM    |10.640,93|1.545,51      |19,24               |9.095,42     |
|Boca do Acre            |AM    |46.108,57|9.808,11      |140,43              |36.300,46    |
|Tabatinga               |AM    |13.153,47|2.652,02      |53,33               |10.501,45    |
|Lábrea                  |AM    |26.081,17|9.996,45      |32,01               |16.084,72    |
|Maués                   |AM    |39.497,48|5.934,07      |116,71              |33.563,41    |
|Itacoatiara             |AM    |23.332,33|4.546,95      |50,55               |18.785,38    |
|Boca do Acre            |AM    |45.621,08|25.018,26     |134,42              |20.602,82    |
|Manaus                  |AM    |21.293   |7.597,44      |99,68               |13.695,56    |
|Novo Aripuanã           |AM    |44.219,26|6.227,6       |17,25               |37.991,66    |
|Iranduba                |AM    |20.464,52|5.016,43      |99,35               |15.448,09    |
|Eirunepé                |AM    |13.469,23|3.859,84      |80,52               |9.609,39     |
|Boca do Acre            |AM    |40.105,47|1.585,48      |55,03               |38.519,99    |
|Maués                   |AM    |51.828,87|30.925,4      |192,95              |20.903,47    |
|Autazes                 |AM    |29.033,31|805,82        |36,5                |28.227,49    |
|Itacoatiara             |AM    |26.220,61|736,8         |83,65               |25.483,81    |
|Parintins               |AM    |28.332,16|11.054,59     |39,81               |17.277,57    |
|Tabatinga               |AM    |17.515,1 |7.179,93      |144,35              |10.335,17    |
|Manicoré                |AM    |44.958,51|10.992,72     |45,33               |33.965,79    |
|São Gabriel da Cachoeira|AM    |56.175,64|16.324,64     |48,67               |39.851       |
|Iranduba                |AM    |4.487,29 |836,62        |135,98              |3.650,67     |
|Manaus                  |AM    |21.390,84|7.676,51      |70,88               |13.714,33    |
|Itacoatiara             |AM    |11.393,74|2.639,76      |119,62              |8.753,98     |
|Maués                   |AM    |2.090,58 |1.053,78      |17,46               |1.036,8      |
|Manicoré                |AM    |37.108,65|20.760,16     |58,52               |16.348,49    |
|Borba                   |AM    |39.893,74|11.588,41     |162,18              |28.305,33    |
|Eirunepé                |AM    |51.567,21|15.359,09     |100,67              |36.208,12    |
|Coari                   |AM    |12.383,14|1.965,6       |184,31              |10.417,54    |
|Humaitá                 |AM    |21.323,85|4.262,71      |172,47              |17.061,14    |
|Autazes                 |AM    |56.955,43|1.585,37      |72,05               |55.370,06    |
|Humaitá                 |AM    |7.782,35 |3.221,24      |75,17               |4.561,11     |
|Manaus                  |AM    |53.160,96|23.730        |44,36               |29.430,96    |
|Parintins               |AM    |28.683,08|1.770,92      |135,19              |26.912,16    |
|São Gabriel da Cachoeira|AM    |22.707,41|3.921,35      |31,43               |18.786,06    |
|Boca do Acre            |AM    |45.158,24|24.165,28     |156,4               |20.992,96    |
|Humaitá                 |AM    |55.761,41|17.439,48     |175,26              |38.321,93    |
|Borba                   |AM    |19.182,63|6.772,11      |173,09              |12.410,52    |
|Autazes                 |AM    |34.671,46|6.322,41      |143,77              |28.349,05    |
|Autazes                 |AM    |2.671,78 |1.439,9       |40,24               |1.231,88     |
|Autazes                 |AM    |50.598,01|10.008,08     |141,47              |40.589,93    |
|Benjamin Constant       |AM    |15.784,65|6.791,19      |80,34               |8.993,46     |
|Presidente Figueiredo   |AM    |15.256,69|6.922,77      |29,23               |8.333,92     |
|Parintins               |AM    |19.307,35|1.250,13      |164,58              |18.057,22    |
|Novo Aripuanã           |AM    |25.113,63|12.397,44     |168,17              |12.716,19    |
|Parintins               |AM    |55.964,06|23.831,62     |45,98               |32.132,44    |
|Autazes                 |AM    |6.354,93 |1.870,73      |73,75               |4.484,2      |
|Autazes                 |AM    |40.667,55|23.140,92     |195,97              |17.526,63    |
|Parintins               |AM    |46.705,77|4.772,88      |25,86               |41.932,89    |
|Iranduba                |AM    |18.437,84|10.385,59     |64,11               |8.052,25     |
|Parintins               |AM    |23.147,35|4.795,59      |100,95              |18.351,76    |
|Coari                   |AM    |25.333,86|2.439,31      |23,23               |22.894,55    |
|Boca do Acre            |AM    |11.456,9 |4.227,1       |26,79               |7.229,8      |
|Humaitá                 |AM    |28.135,71|4.664,02      |14,51               |23.471,69    |
|Lábrea                  |AM    |49.533,68|25.890,15     |114,99              |23.643,53    |
|Boca do Acre            |AM    |34.912,88|8.792,06      |116,83              |26.120,82    |
|São Gabriel da Cachoeira|AM    |26.503,84|1.389,63      |186,8               |25.114,21    |
|Novo Aripuanã           |AM    |8.671,83 |2.022,61      |104,16              |6.649,22     |
|Lábrea                  |AM    |10.395,91|5.607,27      |142,04              |4.788,64     |
|Benjamin Constant       |AM    |16.767,36|9.305,72      |11,64               |7.461,64     |
|Novo Aripuanã           |AM    |22.513,27|4.093,89      |157,39              |18.419,38    |
|Itacoatiara             |AM    |46.432,98|23.797,65     |88,48               |22.635,33    |
|Humaitá                 |AM    |28.387,72|7.731,19      |58,34               |20.656,53    |
|Coari                   |AM    |57.921,97|17.069,62     |29,2                |40.852,35    |
|Iranduba                |AM    |23.071,74|3.534,66      |105,12              |19.537,08    |
|Boca do Acre            |AM    |23.318,83|12.778,25     |173,92              |10.540,58    |
|Iranduba                |AM    |8.277,69 |4.080,84      |182,85              |4.196,85     |
|Novo Aripuanã           |AM    |49.495,04|26.186,05     |187,11              |23.308,99    |
|Autazes                 |AM    |13.006,48|7.037,35      |186,67              |5.969,13     |
|Maués                   |AM    |1.473,61 |615,38        |52,93               |858,23       |
|Boca do Acre            |AM    |58.870,84|2.610,79      |134,72              |56.260,05    |
|Manaus                  |AM    |36.591,9 |18.211,66     |149,55              |18.380,24    |
|Manaus                  |AM    |20.879,62|5.315,21      |169,63              |15.564,41    |
|Benjamin Constant       |AM    |40.234,95|23.776,76     |133,13              |16.458,19    |
|Boca do Acre            |AM    |35.682,15|13.200,68     |153,97              |22.481,47    |
|Novo Aripuanã           |AM    |48.743,33|11.245,54     |188,02              |37.497,79    |
|Parintins               |AM    |52.365,6 |1.927,95      |51,78               |50.437,65    |
|Presidente Figueiredo   |AM    |35.711,73|15.601,71     |140,79              |20.110,02    |
|Novo Aripuanã           |AM    |34.713,13|11.929,42     |123,5               |22.783,71    |
|Coari                   |AM    |25.716,63|4.002,14      |160,46              |21.714,49    |
|Itacoatiara             |AM    |38.510,17|11.394,96     |58,86               |27.115,21    |
|Benjamin Constant       |AM    |34.888,78|10.174,28     |170,52              |24.714,5     |
|Manacapuru              |AM    |35.330,26|17.952,33     |89,86               |17.377,93    |
|Autazes                 |AM    |45.828,39|5.191,02      |158,55              |40.637,37    |
|Boca do Acre            |AM    |44.840,43|14.247,44     |72,61               |30.592,99    |
|Presidente Figueiredo   |AM    |35.385,79|19.679,17     |144,98              |15.706,62    |
|Manicoré                |AM    |45.406,99|7.917,98      |133,37              |37.489,01    |
|Novo Aripuanã           |AM    |2.978,8  |817,77        |37,09               |2.161,03     |
|Humaitá                 |AM    |55.527,56|5.595,24      |78,86               |49.932,32    |
|Novo Aripuanã           |AM    |7.022,47 |4.114,97      |78,36               |2.907,5      |
|Boca do Acre            |AM    |47.290,53|7.039,2       |190,67              |40.251,33    |
|Autazes                 |AM    |52.414,4 |28.112,52     |38,71               |24.301,88    |
|Borba                   |AM    |3.469,49 |1.950,11      |198,42              |1.519,38     |
|Novo Aripuanã           |AM    |6.840,16 |3.832,19      |46,94               |3.007,97     |
|Itacoatiara             |AM    |2.332,28 |600,9         |140,49              |1.731,38     |
|Maués                   |AM    |41.349,55|11.208,64     |104,41              |30.140,91    |
|Presidente Figueiredo   |AM    |52.530,14|6.656,73      |101,45              |45.873,41    |
|São Gabriel da Cachoeira|AM    |38.617,49|21.292,21     |175,47              |17.325,28    |
|Parintins               |AM    |10.572   |1.804,2       |140,09              |8.767,8      |
|Boca do Acre            |AM    |28.387,93|7.889,12      |118,78              |20.498,81    |
|Humaitá                 |AM    |8.734,04 |2.919,06      |102,13              |5.814,98     |
|Autazes                 |AM    |25.546,16|9.539,25      |95,35               |16.006,91    |
|Lábrea                  |AM    |14.407,42|7.343,01      |157,28              |7.064,41     |
|Novo Aripuanã           |AM    |46.241,9 |10.716,57     |184,06              |35.525,33    |
|Boca do Acre            |AM    |2.948,86 |1.534,26      |47,94               |1.414,6      |
|Borba                   |AM    |58.751,49|5.675,67      |117,82              |53.075,82    |
|Tefé                    |AM    |7.049,49 |1.846,45      |129,64              |5.203,04     |
|Boca do Acre            |AM    |33.317,94|13.107,69     |128,58              |20.210,25    |
|Autazes                 |AM    |49.634,76|19.590,75     |169,86              |30.044,01    |
|Novo Aripuanã           |AM    |12.903,63|2.261,14      |187,64              |10.642,49    |
|Benjamin Constant       |AM    |59.034,11|11.893,29     |178,88              |47.140,82    |
|Novo Aripuanã           |AM    |58.469,72|29.648,25     |22,3                |28.821,47    |
|Manicoré                |AM    |24.310,8 |13.195,47     |34,79               |11.115,33    |
|Autazes                 |AM    |33.623,96|5.832,63      |145,11              |27.791,33    |
|Benjamin Constant       |AM    |19.713,61|1.574,4       |147,48              |18.139,21    |
|Lábrea                  |AM    |14.774,93|2.236,68      |154,29              |12.538,25    |
|Itacoatiara             |AM    |57.901,27|15.832,16     |185,97              |42.069,11    |
|Humaitá                 |AM    |13.945,63|3.918,39      |53,58               |10.027,24    |
|Humaitá                 |AM    |17.750,08|2.810,75      |105,02              |14.939,33    |
|Manaus                  |AM    |47.024,62|16.714,24     |81,61               |30.310,38    |
|Novo Aripuanã           |AM    |43.993,07|25.378,64     |81,39               |18.614,43    |
|Iranduba                |AM    |52.967,75|20.056,85     |90,87               |32.910,9     |
|Humaitá                 |AM    |41.390,65|623,32        |41,94               |40.767,33    |
|Benjamin Constant       |AM    |53.007,21|23.553,19     |35,1                |29.454,02    |
|Tefé                    |AM    |55.471,59|6.002,82      |96,78               |49.468,77    |
|Borba                   |AM    |5.182,88 |530,38        |90,64               |4.652,5      |
|Autazes                 |AM    |44.040,21|26.047,47     |148,32              |17.992,74    |
|Manacapuru              |AM    |53.555,25|17.861,25     |63,19               |35.694       |
|Humaitá                 |AM    |24.267,53|8.133,44      |134,02              |16.134,09    |
|Manacapuru              |AM    |22.893,37|5.181,68      |23,55               |17.711,69    |
|Tefé                    |AM    |12.539,68|1.228,17      |95,1                |11.311,51    |
|Eirunepé                |AM    |43.558,77|23.723,22     |95,74               |19.835,55    |
|Manaus                  |AM    |5.389,26 |546,91        |63,21               |4.842,35     |
|Borba                   |AM    |42.895,82|18.123,85     |197,79              |24.771,97    |
|Tabatinga               |AM    |3.537,74 |1.538,56      |192,09              |1.999,18     |
|Itacoatiara             |AM    |17.657,21|3.979,21      |57,66               |13.678       |
|Coari                   |AM    |13.456,79|902,75        |54,05               |12.554,04    |
|Manaus                  |AM    |51.207,87|5.425,53      |198,76              |45.782,34    |
|Benjamin Constant       |AM    |3.754,48 |1.491,6       |143,54              |2.262,88     |
|Lábrea                  |AM    |19.043,52|7.822,87      |148,31              |11.220,65    |
|Iranduba                |AM    |45.499,55|4.993,24      |144,34              |40.506,31    |
|Presidente Figueiredo   |AM    |29.265,48|16.449,59     |145,09              |12.815,89    |
|Borba                   |AM    |57.322,3 |25.775,88     |22,01               |31.546,42    |
|Boca do Acre            |AM    |40.680,74|11.635,67     |122,8               |29.045,07    |
|Borba                   |AM    |28.506,58|15.412,86     |75,11               |13.093,72    |
|Boca do Acre            |AM    |22.867,4 |3.947,28      |123,16              |18.920,12    |
|Manacapuru              |AM    |13.792,63|1.876,11      |11,52               |11.916,52    |
|Humaitá                 |AM    |54.066,56|4.223,66      |92,17               |49.842,9     |
|Autazes                 |AM    |37.525,76|17.758,42     |45,46               |19.767,34    |
|Manicoré                |AM    |51.935,98|30.531,78     |126,56              |21.404,2     |
|Presidente Figueiredo   |AM    |32.347,09|4.016,99      |50,19               |28.330,1     |
|Autazes                 |AM    |55.330,2 |23.603,29     |74,9                |31.726,91    |
|Novo Aripuanã           |AM    |3.973,11 |1.232,46      |163,25              |2.740,65     |
|São Gabriel da Cachoeira|AM    |21.517,83|3.870,68      |46,04               |17.647,15    |
|Benjamin Constant       |AM    |3.330,14 |1.472,63      |195,13              |1.857,51     |
|Presidente Figueiredo   |AM    |29.232,1 |15.689,78     |90,2                |13.542,32    |
|Autazes                 |AM    |28.907   |2.581,94      |63,59               |26.325,06    |
|Parintins               |AM    |24.859,34|14.253,59     |118,47              |10.605,75    |
|Autazes                 |AM    |50.214,72|19.602,65     |172,78              |30.612,07    |
|Borba                   |AM    |1.726,59 |952,06        |79,41               |774,53       |
|Coari                   |AM    |28.209,94|3.305,82      |123,79              |24.904,12    |
|Eirunepé                |AM    |52.648,04|5.174,43      |158,87              |47.473,61    |
